TARGET_ID,UNIPROT_ID
3,O76074
4,O95180
6,P00374
8,P00519
9,P00533
11,P00734
12,P00747
19,P03372
23,P03952
38,P07099
47,P08172
55,P09917
56,P10275
62,P11387
63,P11388
65,P11511
69,P12821
71,P14324
72,P14416
73,P14679
76,P15538
86,P21397
93,P22303
96,P23219
100,P23975
104,P27338
121,P31645
126,P35354
129,P35372
133,P37231
155,Q01959
157,Q02127
163,Q07869
165,Q12809
170,Q14432
174,Q92731
194,P00742
235,P08246
242,P15121
252,P29274
10003,P07339
10009,O43613
10044,P68400
10056,P78527
10069,P49862
10108,O95749
10140,P06239
10141,P00338
10163,P10632
10179,Q03405
10188,Q16539
10189,P15090
10193,P00915
10197,P49841
10200,P14174
10216,Q05513
10258,P17706
10260,Q8NER1
10266,P11362
10278,Q04760
10280,Q9Y5N1
10323,Q96IY4
10332,P30304
10368,P48730
10378,P07858
10434,P12931
10473,P61073
10495,P43235
10498,P07711
10531,O96017
10532,P06276
10594,O00408
10599,Q07343
10635,P36544
10656,P05067
10695,P31751
10711,P25098
10733,P04062
10773,P25025
10781,Q96GD4
10849,P52333
10869,Q9BY41
10899,Q15119
10901,P41743
10907,P53350
10919,P23458
10938,O60674
10945,Q969S8
10980,P35968
11017,P49840
11024,P45452
11109,P08254
11110,P22894
11130,P00352
11140,P27487
11177,O00329
11180,Q96RI1
11206,Q92769
11208,O15379
11213,P07900
11232,P56524
11242,Q05397
11288,P00748
11291,O00519
11307,Q9UBN7
11356,P48775
11359,Q08499
11362,P42336
11365,P10635
11398,P08183
11400,P42345
11415,P09467
11451,P08581
11472,P40763
11480,Q14524
11489,P28845
11507,O00748
11520,P29350
11523,Q06124
11565,P30305
11570,P17405
11574,P25024
11638,P28482
11639,P27361
11663,P09874
11678,P24941
11723,P19971
11727,P34913
11797,Q9UKV0
11902,P04629
11910,Q13946
11939,P48736
11942,P00749
11968,P48147
12000,P08709
12021,Q96DB2
12030,P33527
12090,Q13627
12227,Q03181
12252,P56817
12261,P45983
12283,Q9UQL6
12443,Q8WUI4
12576,P42338
12584,Q9Y337
12592,P14780
12594,P05177
12670,P36888
12694,P29597
12697,Q13547
12704,P02766
12724,P51812
12855,P30419
12883,Q13526
12911,P11712
12912,P33261
12920,P35610
12947,Q00535
13001,P08253
13005,P06870
13061,P18031
17045,P08684
17050,P08236
18036,P13866
19905,Q99705
20014,O14965
20073,P11509
20085,P20813
20131,Q00987
20132,Q01469
20137,Q13315
20139,Q13535
20143,Q16853
30017,P51955
30025,Q13153
100010,Q9Y233
100079,P07949
100097,Q06187
100100,O43497
100126,P15056
100193,Q99685
100304,P10415
100325,Q16665
100410,P30530
100417,Q9UM73
100446,Q9NTG7
100447,Q8IXJ6
100448,Q96EB6
100468,Q07820
100481,P42330
100485,O75365
100594,Q13822
100613,P49721
100624,P28074
100627,P24666
100633,P20618
100643,P14902
100781,O14786
100848,Q15391
100874,Q09472
100878,Q99873
100912,Q06418
100933,Q9UGN5
100974,Q9UNQ0
101044,Q6P179
101181,Q86X55
101234,O00767
101310,Q92793
101351,P52895
101379,P22413
101412,O75762
101476,P27695
101589,P35222
101608,Q9NYK1
101611,Q9NZ08
102420,P34947
102439,O60341
102672,Q96KQ7
103061,Q12931
103069,Q9NUW8
103079,P55072
103165,P61964
103167,Q7Z2W7
103454,O60885
103481,P01106
103590,Q96LA8
103655,Q9Y239
103659,B2RXH2
103699,Q9HC29
103722,P25440
103726,P48145
103982,P51449
104004,Q96P20
104017,Q9Y4P1
104197,Q8TEK3
104265,Q58F21
104266,Q15059
104329,Q9P0U3
104483,O75874
104486,P54829
104568,Q5XXA6
105188,Q6PL18
105196,Q93009
105223,Q9NXA8
105247,O95551
105346,P00746
105596,O43175
107664,Q53GL7
108027,Q8NHU3
109560,Q9NP59
109917,Q9UDY8
116091,P46095
117391,P41182
