TARGET_ID	SPECIES	UNIPROT_ID
1	9606	O43451
2	9606	O60706
3	9606	O76074
4	9606	O95180
5	6253	O96760
6	9606	P00374
7	83333	P0ABQ4
8	9606	P00519
9	9606	P00533
10	83333	P0A8V2
11	9606	P00734
12	9606	P00747
13	562	P62593
14	9606	P00813
15	9606	P00918
16	9606	P01008
18	83333	P02918
19	9606	P03372
21	211044	P03468
22	381517	P0DOF8
23	9606	P03952
24	9606	P04035
25	9606	P04150
27	10299	P04293
28	9606	P04818
29	9606	P05023
30	9606	P05091
32	9606	P05108
33	9606	P68371
34	9606	P05556
35	9606	P06213
36	9606	P06401
37	83333	P0AES6
38	9606	P07099
39	9606	P07101
40	9606	P07202
41	9606	P07327
42	9606	P07477
43	9606	P07550
45	83333	P07862
46	83333	P0AD65
47	9606	P08172
48	9606	P08235
49	9606	P08514
50	9606	P08588
51	9606	P08908
52	9606	P08913
53	83333	P0AES4
54	9606	P09884
55	9606	P09917
56	9606	P10275
57	9606	P10276
58	237561	P10613
59	9606	P10827
60	9606	P10912
61	9606	P11229
62	9606	P11387
63	9606	P11388
64	9606	P11473
65	9606	P11511
68	9606	P12268
69	9606	P12821
70	5839	P13922
71	9606	P14324
72	9606	P14416
73	9606	P14679
74	9606	P14867
76	9606	P15538
77	9606	P16233
78	9606	P16473
79	9606	P18405
80	9606	P62942
81	9606	P20138
83	9606	P20711
84	9606	P20839
86	9606	P21397
87	9606	P21554
88	9606	P21728
89	9606	P21817
90	9606	P21917
91	9606	P21964
93	9606	P22303
94	9606	P22680
95	9606	P22888
96	9606	P23219
97	9606	P23284
98	9606	P23921
99	9606	P23945
100	9606	P23975
102	9606	P25021
103	9606	P25100
104	9606	P27338
105	9606	P28221
106	9606	P28222
107	9606	P28223
108	9606	P28335
109	83333	P0A749
110	83333	P0AEK4
111	9606	P29218
112	9606	P30518
113	9606	P30531
114	9606	P30542
115	9606	P30556
116	9606	P30559
117	9606	P30874
118	9606	P30968
119	9606	P30988
120	9606	P31213
121	9606	P31645
122	559292	P32476
123	9606	P32754
124	9606	P34998
125	9606	P35348
126	9606	P35354
127	9606	P35367
128	9606	P35368
129	9606	P35372
130	9606	P35462
131	9606	P35498
132	9606	P37088
133	9606	P37231
134	9606	P37288
136	9606	P41143
137	9606	P41145
138	9606	P41146
139	1280	P41972
140	9606	P43088
142	9606	P43116
143	9606	P43119
144	9606	P46098
145	1773	P9WGR1
146	9606	P47871
147	9606	P47872
148	9606	P47901
149	9606	P47989
150	9606	P54289
151	9606	P55017
152	1773	P9WNL9
153	9606	P80404
154	9606	Q01718
155	9606	Q01959
157	9606	Q02127
158	9606	Q02643
159	5833	Q02768
160	9606	Q03431
161	9606	Q05586
162	9606	Q05940
163	9606	Q07869
164	9606	Q09428
165	9606	Q12809
166	9606	Q12879
167	9606	Q13621
168	9606	Q13639
169	9606	Q13936
170	9606	Q14432
172	9606	Q16881
174	9606	Q92731
175	9606	Q99808
176	9606	Q9H244
178	42068	Q9UUP5
179	9606	Q9Y271
180	9606	P62937
181	9606	P11836
182	9606	P01589
183	489449	P31873
184	9606	Q04609
185	9606	P01375
186	212717	P04958
187	9606	P15692
188	9606	P04626
190	9606	P20701
191	11676	Q72874
193	9606	P00740
194	9606	P00742
195	9606	P01374
196	9606	P06729
197	9606	P09619
198	9606	P14778
200	9606	P17181
201	9606	P19235
203	9606	P31358
206	9606	Q14626
207	9606	Q99062
208	9606	Q9UNI1
212	83333	P02919
213	10309	P06479
214	9606	P08173
215	9606	P08912
216	9606	P18089
218	9606	P18825
219	9606	P20309
220	9606	P21918
221	9606	P47870
222	9606	Q13224
223	9606	Q15413
224	9606	Q9BQB6
226	9606	P13945
227	9606	P41595
228	11676	Q72547
229	9606	P01854
232	9606	P06858
233	9606	P07766
234	9606	P08069
235	9606	P08246
236	9606	P08473
237	9606	P09960
238	9606	P10721
240	9606	P13631
241	9606	P14060
242	9606	P15121
243	9606	P15144
244	9606	P16066
245	9606	P16444
246	9606	P21731
247	9606	P24530
248	9606	P24557
249	9606	P25101
250	9606	P25103
251	9606	P25105
252	9606	P29274
255	559292	P32352
259	9606	P34972
260	9606	P34981
261	9606	P34995
262	9606	P35408
264	5702	P39051
265	9606	P40238
266	9606	P48443
267	9606	P54219
270	9606	P10826
271	9606	P10828
272	9606	P11926
275	9606	P19793
276	9606	P27815
277	9606	P28702
278	9606	P29275
279	9606	P30939
280	9606	P0DMS8
282	9606	P41180
283	9606	P51649
285	9606	Q14654
286	9606	Q16739
311	5833	P05227
317	83333	P0AFI2
321	9606	P26358
322	9606	Q9Y6K1
324	9606	P68366
325	5833	Q25704
326	1773	P9WGY9
327	1773	P9WP31
328	1773	P9WQA9
329	9606	Q9UHC9
330	5476	O13383
10001	9606	O60906
10003	9606	P07339
10004	9606	P15169
10006	10090	P30285
10007	9606	P20248
10008	10090	P33534
10009	9606	O43613
10010	10116	P49653
10011	10141	O70344
10012	9606	Q15077
10013	9823	P00592
10014	10141	P21556
